AID,AName,English_Name,Description,Benefits,Contraindications,Breathing,Level,Hold_Duration_sec,Focus_Area,category,good_for_beginners,duration_minutes,search_keywords,YouTube_Link
1,Adho Mukha Svanasana,Downward-Facing Dog Pose,"From kneeling, place hands shoulder-width apart. Tuck toes under and lift hips up and back forming an inverted V-shape, straightening legs as much as possible.","Strengthens arms, shoulders, and legs; stretches hamstrings, calves, and back; improves circulation and digestion; relieves stress and fatigue.","High blood pressure, shoulder or wrist injuries, pregnancy (modify or avoid).",Inhale as you lift hips; exhale as you deepen the stretch.,Beginner,30,"Full body, stretch",Flexibility,True,0.5,"beginner | hamstrings | adho mukha svanasana | calves | stretches | improves | strengthens | legs | back | flexibility | circulation | arms | full body, stretch | downward-facing dog pose | shoulders",https://www.youtube.com/watch?v=OUgsJ8-Vi0E
2,Anjaneyasana,Low Lunge Pose,"From standing, step one foot forward into a lunge, back knee down. Place hands on front thigh or floor. Lift chest and gaze forward.","Stretches hip flexors, quadriceps, and groin; strengthens legs and core; improves balance and flexibility.","Knee injuries, hip problems.",Inhale to lengthen spine; exhale to deepen the lunge.,Beginner,30,"Hip flexibility, legs",Flexibility,True,0.5,"low lunge pose | beginner | stretches | quadriceps | strengthens | anjaneyasana | legs | improves | hip flexibility, legs | balance | flexibility | groin | core | flexors",https://www.youtube.com/watch?v=4pKly2JojMw
3,Ardha Chandrasana,Half Moon Pose,"From standing, shift weight onto one leg, reach opposite hand to floor or block. Extend other arm upward, opening chest and hips to the side.","Improves balance and concentration; strengthens legs, ankles, and core; stretches hamstrings and groin.","Low back pain, hip injuries, balance issues.",Inhale to lift the top arm; exhale to stabilize.,Intermediate,20,"Balance, strength",Balance,False,0.3,"hamstrings | balance, strength | improves | stretches | strengthens | legs | ardha chandrasana | balance | concentration | ankles | core | groin | intermediate | half moon pose",https://www.youtube.com/watch?v=5o1n7Mm24_k
4,Ardha Matsyendrasana,Half Lord of the Fishes Pose,"Sit with legs extended, bend one knee and place foot outside opposite thigh. Twist toward bent knee, placing opposite elbow outside the knee.",Improves spinal flexibility; massages abdominal organs; relieves back pain; enhances digestion.,"Spinal injuries, pregnancy, digestive issues.",Inhale to lengthen spine; exhale to twist deeper.,Intermediate,30,"Spine, digestion",General,False,0.5,"relieves | abdominal | pain | improves | enhances | general | organs | flexibility | spinal | back | ardha matsyendrasana | half lord of the fishes pose | spine, digestion | massages | intermediate",https://www.youtube.com/watch?v=8Xc7xbmqT8E
5,Ashtanga Namaskara,Eight-Limbed Salutation,"From Plank, lower knees, chest, and chin to floor while keeping hips up. Eight points touch the ground.","Strengthens arms, chest, and core; improves upper body strength; builds heat in the body.",Wrist or shoulder injuries.,Exhale as you lower; inhale in the next pose.,Beginner,5,"Upper body, warm-up",General,True,0.1,"chest | beginner | improves | strengthens | upper body, warm-up | upper | general | body | builds | heat | core | strength | arms | ashtanga namaskara | eight-limbed salutation",https://www.youtube.com/results?search_query=Ashtanga+Namaskara
6,Baddha Konasana,Bound Angle Pose,Sit with soles of feet together and knees out to sides. Hold your feet or ankles and gently press knees toward the floor.,Opens hips and groin; stretches inner thighs; improves circulation; calms the mind.,Knee or groin injury.,Breathe deeply and slowly.,Beginner,60,"Hip opening, flexibility",Flexibility,True,1.0,"inner | beginner | baddha konasana | stretches | improves | flexibility | opens | bound angle pose | groin | hip opening, flexibility | thighs | circulation | hips | mind | calms",https://www.youtube.com/watch?v=JloLjpBpbLI
7,Balasana,Child's Pose,"Kneel with big toes touching, knees apart. Sit back on heels and fold forward, extending arms in front or by your sides.","Relieves back and neck tension; calms the nervous system; gently stretches hips, thighs, and ankles.","Knee injuries, pregnancy (modify).",Breathe deeply and slowly.,Beginner,60,"Rest, back relief",General,True,1.0,"beginner | relieves | rest, back relief | stretches | general | child's pose | tension | back | gently | calms | nervous | neck | hips | system | balasana",https://www.youtube.com/watch?v=2MJGg-dUKh0
8,Bhujangasana,Cobra Pose,"Lie prone with hands under shoulders. Inhale and lift chest off the floor, keeping elbows slightly bent. Keep shoulders back and down.","Strengthens spine; stretches chest, shoulders, and abdomen; helps relieve stress and fatigue.","Back injury, carpal tunnel, pregnancy.",Inhale to lift; exhale to lower.,Beginner,20,"Backbend, spine",Backbend,True,0.3,"chest | beginner | helps | stretches | cobra pose | strengthens | relieve | stress | fatigue | bhujangasana | spine | abdomen | backbend | backbend, spine | shoulders",https://www.youtube.com/watch?v=Jo-9n-K8Rfs
9,Chaturanga Dandasana,Four-Limbed Staff Pose,"From Plank, lower body halfway to floor with elbows at 90 degrees, body parallel to ground.","Builds core, arms, and shoulder strength; improves body alignment; essential yoga push-up.",Wrist or shoulder injuries.,Exhale as you lower.,Intermediate,5,"Strength, core",Core,False,0.1,"improves | body | essential | four-limbed staff pose | builds | alignment | core | yoga | strength, core | arms | chaturanga dandasana | strength | intermediate | shoulder",https://www.youtube.com/results?search_query=Chaturanga+Dandasana
10,Dandasana,Staff Pose,"Sit with legs extended straight in front, hands beside hips, spine tall and erect.",Strengthens back and core; improves posture; stretches shoulders and chest.,Back injury or stiffness.,Breathe deeply and evenly.,Beginner,30,"Posture, foundation",General,True,0.5,"chest | beginner | improves | dandasana | strengthens | stretches | general | posture | back | core | posture, foundation | staff pose | shoulders",https://www.youtube.com/results?search_query=Dandasana
