Condition,Food Item,Recommendation Type,Calories,Protein (g),Fat (g),Carbs (g),Fiber (g),Vitamin C (mg),Calcium (mg),reason,condition_aliases,protein_pct,carb_pct,fat_pct
Diabetes,Carrots,Consume,41,0.9,0.2,9.6,2.8,5.9,33.0,Benefits: low calorie,"sugar, diabetes, diabetic, blood sugar, hyperglycemia, type 2 diabetes",8.8,93.7,4.4
Diabetes,Walnuts,Consume,654,15.2,65.2,13.7,6.7,1.3,98.0,"Benefits: high fiber, good protein","sugar, diabetes, diabetic, blood sugar, hyperglycemia, type 2 diabetes",9.3,8.4,89.7
Diabetes,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,"sugar, diabetes, diabetic, blood sugar, hyperglycemia, type 2 diabetes",2.3,107.7,3.5
Diabetes,Broccoli,Consume,34,2.8,0.4,7.0,2.6,89.2,47.0,"Benefits: low calorie, rich in vitamin C","sugar, diabetes, diabetic, blood sugar, hyperglycemia, type 2 diabetes",32.9,82.4,10.6
Diabetes,Beans,Consume,127,8.7,0.5,22.8,6.4,1.2,50.0,"Benefits: high fiber, good protein","sugar, diabetes, diabetic, blood sugar, hyperglycemia, type 2 diabetes",27.4,71.8,3.5
Diabetes,Butter,Avoid,717,0.9,81.1,0.1,0.0,0.0,24.0,"Concerns: high calorie, high fat, no fiber","sugar, diabetes, diabetic, blood sugar, hyperglycemia, type 2 diabetes",0.5,0.1,101.8
Diabetes,Sugary Drinks,Avoid,45,0.0,0.0,11.0,0.0,0.0,0.0,Concerns: no fiber,"sugar, diabetes, diabetic, blood sugar, hyperglycemia, type 2 diabetes",0.0,97.8,0.0
Diabetes,Chips,Avoid,536,7.0,35.0,53.0,5.0,0.0,20.0,"Concerns: high calorie, high fat","sugar, diabetes, diabetic, blood sugar, hyperglycemia, type 2 diabetes",5.2,39.6,58.8
Diabetes,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,"sugar, diabetes, diabetic, blood sugar, hyperglycemia, type 2 diabetes",6.8,46.4,47.8
Diabetes,Butter,Avoid,717,0.9,81.1,0.1,0.0,0.0,24.0,"Concerns: high calorie, high fat, no fiber","sugar, diabetes, diabetic, blood sugar, hyperglycemia, type 2 diabetes",0.5,0.1,101.8
Hypertension,Greek Yogurt,Consume,59,10.2,0.4,3.6,0.0,0.5,111.0,"Benefits: good protein, low calorie, calcium source","high blood pressure, bp, hypertension, blood pressure",69.2,24.4,6.1
Hypertension,Sweet Potato,Consume,86,1.6,0.1,20.1,3.0,2.4,30.0,"Benefits: high fiber, low calorie","high blood pressure, bp, hypertension, blood pressure",7.4,93.5,1.0
Hypertension,Almonds,Consume,579,21.2,49.9,21.6,12.5,0.0,264.0,"Benefits: high fiber, good protein, calcium source","high blood pressure, bp, hypertension, blood pressure",14.6,14.9,77.6
Hypertension,Lentils,Consume,116,9.0,0.4,20.0,7.9,1.5,19.0,"Benefits: high fiber, good protein","high blood pressure, bp, hypertension, blood pressure",31.0,69.0,3.1
Hypertension,Almonds,Consume,579,21.2,49.9,21.6,12.5,0.0,264.0,"Benefits: high fiber, good protein, calcium source","high blood pressure, bp, hypertension, blood pressure",14.6,14.9,77.6
Hypertension,Red Meat,Avoid,250,26.0,15.0,0.0,0.0,0.0,18.0,Concerns: no fiber,"high blood pressure, bp, hypertension, blood pressure",41.6,0.0,54.0
Hypertension,Processed Meat,Avoid,290,14.0,25.0,3.0,0.0,0.0,10.0,"Concerns: high fat, no fiber","high blood pressure, bp, hypertension, blood pressure",19.3,4.1,77.6
Hypertension,Red Meat,Avoid,250,26.0,15.0,0.0,0.0,0.0,18.0,Concerns: no fiber,"high blood pressure, bp, hypertension, blood pressure",41.6,0.0,54.0
Hypertension,Candy,Avoid,400,0.0,5.0,93.0,0.0,0.0,5.0,"Concerns: high calorie, high refined carbs, no fiber","high blood pressure, bp, hypertension, blood pressure",0.0,93.0,11.2
Hypertension,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat","high blood pressure, bp, hypertension, blood pressure",5.0,54.2,41.2
Heart Disease,Brown Rice,Consume,112,2.6,0.9,23.5,1.8,0.0,10.0,Benefits: nutritional support,"heart disease, cardiac, cardiovascular, coronary, heart health",9.3,83.9,7.2
Heart Disease,Greek Yogurt,Consume,59,10.2,0.4,3.6,0.0,0.5,111.0,"Benefits: good protein, low calorie, calcium source","heart disease, cardiac, cardiovascular, coronary, heart health",69.2,24.4,6.1
Heart Disease,Beans,Consume,127,8.7,0.5,22.8,6.4,1.2,50.0,"Benefits: high fiber, good protein","heart disease, cardiac, cardiovascular, coronary, heart health",27.4,71.8,3.5
Heart Disease,Garlic,Consume,149,6.4,0.5,33.1,2.1,31.2,181.0,"Benefits: good protein, rich in vitamin C, calcium source","heart disease, cardiac, cardiovascular, coronary, heart health",17.2,88.9,3.0
