intent,question,response,question_normalized,response_length,has_numbers
greeting,Hi,"Hello! I'm your fitness assistant. Ask me anything about workouts, nutrition, weight loss, or healthy living!",hi,109,False
greeting,Hello there,Hey! Ready to help you crush your fitness goals. What would you like to know?,hello there,77,False
greeting,Hey,"Hi there! Whether it's about exercise, diet, or wellness — I've got you covered!",hey,80,False
greeting,Good morning,Good morning! Great time to talk fitness. How can I help you today?,good morning,67,False
greeting,What can you do?,"I can answer questions about workouts, nutrition, weight loss, muscle gain, recovery, sleep, hydration, and general healthy living tips!",what can you do,136,False
weight_loss,How do I lose weight?,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day.",how do i lose weight,259,True
weight_loss,How can I lose belly fat?,"You can't spot-reduce fat, but overall fat loss will reduce belly fat too. Focus on a calorie deficit, reduce sugar and processed foods, do a mix of cardio and strength training, manage stress, and get 7–9 hours of sleep.",how can i lose belly fat,221,True
weight_loss,What's the fastest way to lose weight?,The fastest sustainable way is combining a moderate calorie deficit (500 cal/day) with strength training and cardio. Crash diets are not recommended — they often cause muscle loss and rebound weight gain.,whats the fastest way to lose weight,204,True
weight_loss,How many calories should I eat to lose weight?,"A common starting point is your TDEE (Total Daily Energy Expenditure) minus 300–500 calories. For most people that's between 1,500–2,000 calories/day depending on size, age, gender, and activity level.",how many calories should i eat to lose weight,201,True
weight_loss,Why am I not losing weight even though I'm exercising?,"You may be eating more than you think, not in a calorie deficit, retaining water, building muscle, or experiencing a weight loss plateau. Track your food intake accurately and reassess your calorie targets.",why am i not losing weight even though im exercising,206,False
weight_loss,How long does it take to lose 10 pounds?,"At a safe rate of 1–2 lbs per week, losing 10 pounds takes about 5–10 weeks. Results vary based on starting weight, diet, and exercise consistency.",how long does it take to lose 10 pounds,147,True
weight_loss,Does cardio help lose weight?,"Yes, cardio burns calories and supports a calorie deficit. However, combining cardio with strength training gives better long-term results by preserving and building muscle.",does cardio help lose weight,173,False
weight_loss,Can I lose weight without exercise?,"Yes, weight loss is primarily driven by diet. You can lose weight through diet alone, but exercise improves body composition, preserves muscle, boosts metabolism, and benefits overall health.",can i lose weight without exercise,191,False
weight_loss,What foods help with weight loss?,"Foods high in protein and fiber keep you full longer. Great options include eggs, chicken breast, fish, Greek yogurt, legumes, vegetables, oats, and berries. Avoid highly processed, calorie-dense foods.",what foods help with weight loss,202,False
weight_loss,Is intermittent fasting good for weight loss?,"Intermittent fasting (IF) can be effective for weight loss as it helps reduce overall calorie intake. Common methods include 16:8 (fast 16 hours, eat in an 8-hour window) or 5:2. It works best when combined with nutritious eating.",is intermittent fasting good for weight loss,230,True
muscle_gain,How do I build muscle?,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent.",how do i build muscle,206,True
muscle_gain,How much protein do I need to build muscle?,"Aim for 0.7–1 gram of protein per pound of body weight (1.6–2.2g per kg). Good sources include chicken, beef, fish, eggs, dairy, tofu, and legumes.",how much protein do i need to build muscle,147,True
muscle_gain,How often should I lift weights?,Beginners: 2–3 days/week full-body. Intermediate/advanced: 3–5 days/week using splits (push/pull/legs or upper/lower). Each muscle group should be trained 2x per week for optimal growth.,how often should i lift weights,186,True
muscle_gain,Can I build muscle and lose fat at the same time?,"Yes, this is called body recomposition. It's most effective for beginners, people returning after a break, or those with higher body fat. It requires eating around maintenance calories with high protein and consistent strength training.",can i build muscle and lose fat at the same time,236,False
muscle_gain,What are the best exercises to build muscle?,"Compound exercises like squats, deadlifts, bench press, pull-ups, rows, and overhead press are the most effective for building overall muscle mass.",what are the best exercises to build muscle,147,False
