age,weight_kg,height_cm,bmi,gender,activity_level,goal,diet_type,health_conditions,diet_plan_focus,foods_to_eat,foods_to_avoid,bmi_category,age_group,estimated_daily_calories,calorie_target,daily_protein_g,daily_water_L,meal_frequency
25,70,175,22.9,male,moderate,weight_loss,vegetarian,none,High-protein plant foods + calorie deficit,"Lentils, paneer, tofu, vegetables, whole grains, fruits","Sugary drinks, fried snacks, white rice, sweets",Normal,18-25,2594,2194,140.0,2.3,3 main meals + 1-2 snacks
30,80,180,24.7,female,high,muscle_gain,non-vegetarian,diabetes,Lean protein + complex carbs + blood sugar control,"Chicken, eggs, brown rice, oats, green vegetables, dals","White bread, sugary drinks, deep-fried foods, sweets",Normal,26-35,2784,3084,144.0,2.6,4-6 meals/snacks daily
35,65,165,23.9,male,low,maintain,vegetarian,hypertension,Low-sodium balanced diet + potassium-rich foods,"Bananas, spinach, dal, roti, low-fat milk, oats, fruits","Salt-heavy snacks, pickles, processed foods, canned items",Normal,26-35,1814,1814,91.0,2.1,3 main meals + 1 snack
28,75,170,25.9,female,moderate,weight_loss,vegan,none,Plant-based proteins + whole foods + healthy fats,"Chickpeas, lentils, tofu, tempeh, quinoa, veggies, seeds","Refined flour, vegan junk food, added sugars, oils",Overweight,26-35,2343,1943,150.0,2.5,3 main meals + 1-2 snacks
40,85,175,27.8,male,high,muscle_gain,non-vegetarian,none,High-calorie high-protein diet + heavy strength training,"Chicken breast, beef, eggs, milk, sweet potato, rice, oats","Alcohol, trans fats, fast food, excessive sugar",Overweight,36-45,3017,3317,153.0,2.8,4-6 meals/snacks daily
22,60,160,23.4,female,low,maintain,vegetarian,thyroid,Iodine-rich foods + balanced macros + avoid goitrogens,"Iodized salt, seafood (if non-veg), yogurt, eggs, nuts","Raw cruciferous vegetables (excess), soy (excess), processed foods",Normal,18-25,1595,1595,84.0,2.0,3 main meals + 1 snack
45,90,180,27.8,male,moderate,weight_loss,non-vegetarian,cholesterol,Low-fat high-fiber diet + omega-3 sources,"Oats, fish, fruits, vegetables, legumes, olive oil, nuts","Red meat, full-fat dairy, fried foods, butter, egg yolks",Overweight,36-45,2798,2398,180.0,3.0,3 main meals + 1-2 snacks
32,68,168,24.1,female,high,muscle_gain,vegetarian,none,Protein-rich vegetarian + calorie surplus,"Paneer, Greek yogurt, lentils, chickpeas, nuts, seeds, whole grains","Empty calories, excessive fat, junk food, sugar",Normal,26-35,2431,2731,122.4,2.2,4-6 meals/snacks daily
38,72,172,24.3,male,low,maintain,vegan,none,Complete vegan diet with B12 supplementation,"Legumes, grains, fortified soy milk, nutritional yeast, seeds","Processed vegan foods, refined carbs, excess sugar",Normal,36-45,1932,1932,100.8,2.4,3 main meals + 1 snack
26,78,178,24.6,female,moderate,weight_loss,non-vegetarian,pcos,Low-glycemic anti-inflammatory diet + hormone balance,"Salmon, chicken, vegetables, berries, chia seeds, oats","Refined carbs, dairy (if sensitive), sugary drinks, red meat",Normal,26-35,2482,2082,156.0,2.6,3 main meals + 1-2 snacks
19,55,162,20.9,female,moderate,weight_gain,vegetarian,none,Calorie-dense nutritious foods + frequent meals,"Nuts, nut butters, avocado, full-fat dairy, bananas, roti with ghee","Junk food, soda, empty calories",Normal,18-25,2025,2325,99.0,1.8,4-6 meals/snacks daily
50,88,173,29.4,male,low,weight_loss,non-vegetarian,diabetes,Diabetic-friendly calorie-restricted plan,"Bitter gourd, methi, fish, eggs, green vegetables, whole grains","White rice, maida, sweets, fried foods, potatoes",Overweight,46-55,2060,1660,176.0,2.9,3 main meals + 1-2 snacks
33,63,163,23.7,female,high,maintain,non-vegetarian,none,Performance diet with balanced macros,"Chicken, brown rice, sweet potato, vegetables, fruits, protein shakes","Junk food, alcohol, excessive fat",Normal,26-35,2282,2282,88.2,2.1,3 main meals + 1 snack
